year_month,n_reviews,avg_compound,avg_pos,avg_neg,pct_positive,pct_negative,pct_neutral,avg_star_rating,year_month_str,date
2019-09,7,0.69,0.193,0.033,85.714,14.286,0.0,3.714,2019-09,2019-09-01
2019-10,5,0.944,0.208,0.043,100.0,0.0,0.0,4.2,2019-10,2019-10-01
2019-11,5,0.593,0.218,0.052,80.0,20.0,0.0,4.0,2019-11,2019-11-01
2019-12,1,0.992,0.293,0.028,100.0,0.0,0.0,5.0,2019-12,2019-12-01
2020-01,1,0.988,0.455,0.0,100.0,0.0,0.0,5.0,2020-01,2020-01-01
2020-02,1,-0.906,0.038,0.096,0.0,100.0,0.0,3.0,2020-02,2020-02-01
2020-09,1,0.98,0.229,0.015,100.0,0.0,0.0,4.0,2020-09,2020-09-01
2020-10,1,-0.968,0.0,0.392,0.0,100.0,0.0,1.0,2020-10,2020-10-01
2021-06,1,0.762,0.112,0.096,100.0,0.0,0.0,2.0,2021-06,2021-06-01
2021-07,1,0.971,0.415,0.0,100.0,0.0,0.0,4.0,2021-07,2021-07-01
2021-09,1,0.881,0.18,0.082,100.0,0.0,0.0,5.0,2021-09,2021-09-01
2021-10,4,0.961,0.243,0.017,100.0,0.0,0.0,4.25,2021-10,2021-10-01
2021-11,3,0.297,0.104,0.052,66.667,33.333,0.0,2.333,2021-11,2021-11-01
2022-01,1,0.685,0.187,0.062,100.0,0.0,0.0,4.0,2022-01,2022-01-01
2022-02,1,0.967,0.274,0.0,100.0,0.0,0.0,4.0,2022-02,2022-02-01
2022-04,1,0.562,0.08,0.052,100.0,0.0,0.0,3.0,2022-04,2022-04-01
2022-05,3,0.366,0.139,0.101,66.667,33.333,0.0,2.667,2022-05,2022-05-01
2022-06,2,0.04,0.118,0.045,50.0,50.0,0.0,3.5,2022-06,2022-06-01
2022-07,1,-0.976,0.105,0.214,0.0,100.0,0.0,1.0,2022-07,2022-07-01
2022-08,1,0.981,0.457,0.0,100.0,0.0,0.0,5.0,2022-08,2022-08-01
2022-09,1,-0.457,0.0,0.019,0.0,100.0,0.0,2.0,2022-09,2022-09-01
2022-10,1,0.971,0.29,0.0,100.0,0.0,0.0,5.0,2022-10,2022-10-01
2023-02,1,0.987,0.404,0.0,100.0,0.0,0.0,5.0,2023-02,2023-02-01
2023-06,2,0.798,0.148,0.074,100.0,0.0,0.0,1.5,2023-06,2023-06-01
2023-07,1,0.971,0.352,0.0,100.0,0.0,0.0,5.0,2023-07,2023-07-01
2023-08,1,0.791,0.193,0.117,100.0,0.0,0.0,3.0,2023-08,2023-08-01
2024-03,1,0.422,0.112,0.071,100.0,0.0,0.0,3.0,2024-03,2024-03-01
2024-06,1,0.981,0.367,0.025,100.0,0.0,0.0,5.0,2024-06,2024-06-01
2024-08,1,0.913,0.254,0.041,100.0,0.0,0.0,4.0,2024-08,2024-08-01
2024-09,1,0.985,0.365,0.035,100.0,0.0,0.0,5.0,2024-09,2024-09-01
2024-11,1,0.955,0.148,0.01,100.0,0.0,0.0,4.0,2024-11,2024-11-01
2025-02,3,0.983,0.219,0.039,100.0,0.0,0.0,4.0,2025-02,2025-02-01
2025-03,1,0.974,0.235,0.0,100.0,0.0,0.0,5.0,2025-03,2025-03-01
2025-04,2,0.953,0.238,0.006,100.0,0.0,0.0,4.5,2025-04,2025-04-01
2025-05,1,0.973,0.366,0.03,100.0,0.0,0.0,5.0,2025-05,2025-05-01
2025-06,2,0.852,0.21,0.075,100.0,0.0,0.0,4.0,2025-06,2025-06-01
2025-07,4,0.077,0.09,0.09,50.0,50.0,0.0,2.5,2025-07,2025-07-01
2025-08,4,0.586,0.227,0.017,75.0,25.0,0.0,3.5,2025-08,2025-08-01
2025-09,12,0.513,0.215,0.078,83.333,16.667,0.0,2.917,2025-09,2025-09-01
2025-10,3,0.982,0.396,0.008,100.0,0.0,0.0,5.0,2025-10,2025-10-01
2025-11,5,0.385,0.31,0.038,60.0,40.0,0.0,3.8,2025-11,2025-11-01
2025-12,7,0.209,0.272,0.05,57.143,42.857,0.0,3.286,2025-12,2025-12-01
2026-01,4,0.897,0.341,0.0,100.0,0.0,0.0,4.75,2026-01,2026-01-01
2026-02,2,0.771,0.184,0.026,100.0,0.0,0.0,3.0,2026-02,2026-02-01
2026-03,2,0.956,0.34,0.0,100.0,0.0,0.0,5.0,2026-03,2026-03-01
